	AveExpr	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	P.value.BasalvsLP	P.value.BasalvsML	P.value.LPvsML	Results.BasalvsLP	Results.BasalvsML	Results.LPvsML	Genes.ENTREZID	Genes.SYMBOL	Genes.TXCHROM
497097	-1.77882649312417	7.4393712026409	6.9446539891543	-0.494717213486599	12.0415074379164	12.4112628561265	0	8.00690735260133e-07	6.197302224985e-07	0.809966137873193	1	1	0	497097	Xkr4	chr1
20671	-1.41863984193466	2.93090015573714	2.29483780632154	-0.636062349415604	2.11804150339921	1.48979970114771	0	0.0339476804669659	0.0889569890833739	0.705085301302596	0	0	0	20671	Sox17	chr1
27395	4.20689271826405	0.469716977346532	0.0112130156729107	-0.458503961673621	0	0	0	0.984295506057918	0.999937001550468	0.987913001041732	0	0	0	27395	Mrpl15	chr1
18777	5.28049221636236	0.279393369072928	-0.393011731563508	-0.672405100636436	0	0	0	0.999226933253417	0.998106899056921	0.972021061108719	0	0	0	18777	Lypla1	chr1
21399	4.99943989278063	0.35764560030966	0.382314720434856	0.0246691201251963	0	0	0	0.999373066554086	0.999246332249391	0.999991903567394	0	0	0	21399	Tcea1	chr1
58175	1.60897335448273	-5.50062768549913	-5.04998074674898	0.450646938750154	-17.739254270291	-15.9403369346282	0	3.31272550970209e-08	7.82415294878226e-08	0.996898816701064	-1	-1	0	58175	Rgs20	chr1
108664	5.76090213620451	-0.827869786989407	-1.05801847720315	-0.230148690213742	0	-0.457992690179994	0	0.894302599045227	0.329316237340214	0.999924241288125	0	0	0	108664	Atp6v1h	chr1
12421	6.29252775566967	-0.945182596324325	-0.341566026440304	0.603616569884021	0	0	0	0.64279834933694	0.999163121361765	0.990967644503278	0	0	0	12421	Rb1cc1	chr1
319263	5.95214881940666	-0.0870103561763482	0.143609654562416	0.230620010738765	0	0	0	0.99992037840422	0.999849000343868	0.99977593903799	0	0	0	319263	Pcmtd1	chr1
59014	5.6055180962507	1.0041660476836	1.29181560605611	0.287649558372515	0.0206195866566644	1.44465484927269	0	0.492019791343107	0.0924927807721828	0.997160560491785	0	0	0	59014	Rrs1	chr1
76187	0.506484750949736	-1.32591294529519	-1.3755725115586	-0.0496595662634133	-1.0446816239632	-1.23042270734963	0	0.162751485255309	0.126044424187963	0.99817189950665	0	0	0	76187	Adhfe1	chr1
72481	-1.10338237392226	-1.1083768945701	-1.812049960418	-0.703673065847904	-0.304369581252137	-2.38022390112418	0	0.384293387265072	0.0216382915059169	0.813693138015861	0	0	0	72481	2610203C22Rik	chr1
76982	-0.957688378361825	-0.312661074719686	0.567840861304202	0.880501936023888	0	0	0	0.942293863542186	0.836559313574152	0.613300787388255	0	0	0	76982	Vxn	chr1
17864	3.15117765298934	0.843534939174169	1.31189776356032	0.468362824386154	0	1.39330683680765	0	0.750498720399879	0.0997370027946834	0.976849681339512	0	0	0	17864	Mybl1	chr1
70675	6.09896219526204	-0.34249852986901	-0.0420150916537843	0.300483438215226	0	0	0	0.99871701853769	0.999949767058983	0.999416300013454	0	0	0	70675	Vcpip1	chr1
170755	2.97811461061281	1.5590774578409	0.362681960322051	-1.19639549751885	2.7364307958479	0	-0.985136615513956	0.012289176800326	0.996095424445209	0.176110050933492	0	0	0	170755	Sgk3	chr1
620986	1.87477273214897	1.11329368953591	0.07963011199057	-1.03366357754534	0.564614405980728	0	-0.172850909854098	0.293586084605547	0.999723404891624	0.433443253685658	0	0	0	620986	NA	NA
73824	3.54358945805452	0.355228826843569	0.197554867024021	-0.157673959819547	0	0	0	0.998404306497981	0.999678164740102	0.999777480174615	0	0	0	73824	Snhg6	chr1
266793	-1.60676965080987	1.20573536783358	1.25330182052957	0.0475664526959927	0.270192469262277	0.340323081259146	0	0.406329359370892	0.378788573456742	0.979683892016101	0	0	0	266793	Snord87	chr1
100038398	-0.440104919479042	0.928451339156839	0.784829135703237	-0.143622203453602	0	0	0	0.572745151970904	0.716746234759659	0.981493800134137	0	0	0	100038398	NA	NA
26754	6.0246279543947	0.0427996071366064	-0.173137586628118	-0.215937193764725	0	0	0	0.999990314228232	0.999946254916111	0.999947774366566	0	0	0	26754	Cops5	chr1
211660	4.7407295852702	-0.370605840119738	-0.0359818745756568	0.334623965544081	0	0	0	0.985820813165347	0.999412517844068	0.990947014404339	0	0	0	211660	Cspp1	chr1
211673	7.70188993734151	-0.431552136146796	-0.260422090100813	0.171130046045983	0	0	0	0.995575417053447	0.99900931589668	0.999724634364067	0	0	0	211673	Arfgef1	chr1
329093	-2.18166221616582	7.52587594314678	10.1109608414305	2.58508489828374	15.6718415553015	19.8878312579657	3.13299959977525	9.63312621995711e-08	1.48182032393822e-08	0.00664815978351982	1	1	0	329093	Cpa6	chr1
109294	2.09369114282939	1.0058835604024	0.754272082257505	-0.251611478144897	0.0109549360895933	0	0	0.498416563679841	0.682187964304798	0.92452343511798	0	0	0	109294	Prex2	chr1
320492	-3.42490475290431	5.19501700284042	4.03818909522659	-1.15682790761383	5.63412509217101	4.28492494090512	-0.192566961786444	0.000222203998528023	0.00124789509258571	0.440074181882915	1	1	0	320492	A830018L16Rik	chr1
240725	2.79026218954488	3.46002671074014	4.14867073090049	0.688644020160344	9.07623064680956	11.3591391754822	0	6.60522018247254e-06	1.16286317404801e-06	0.836904775997612	1	1	0	240725	Sulf1	chr1
240726	-1.45277199959808	0.67531244977071	1.15557942990136	0.480266980130649	0	0.359595225844116	0	0.766534118441998	0.364506664588641	0.870944089666395	0	0	0	240726	Slco5a1	chr1
383491	-2.20823149838043	0.0440112292763279	0.766878504641856	0.722867275365528	0	0	0	0.988134006258042	0.667697970115606	0.698760910261277	0	0	0	383491	Prdm14	chr1
17978	7.17017091211131	-0.259463502068833	-0.403202362047586	-0.143738859978753	0	0	0	0.999901418497526	0.999559854937491	0.999981512342317	0	0	0	17978	Ncoa2	chr1
